authors,year,baseline_year,"methodological 
method",title,include_yn,include_why,archive_name,KE,JR,JM,treatment_type,transfer_type,country,LMIC,population,female_share,age_range,age,all_n,treatment_n,control_n,intervention_code,intervention_des,outcome,outcome_category,outcome_negative,outcome_dummy,lumpsum,intervention_value,intervention_type,lumpsun_amount,member_des,member_amount,member_n,month_amount,months_n,duration_month,duration,index_with_components,depression_yn,information_requestes,standarized,t_treatment,treatment_effect,se_treatment_effect,end_mean_con,end_sd_con,end_mean_treatment,end_sd_treatment,bas_mean_treatment,bas_sd_treatment,bas_diff,bas_diff_sd,bas_pval,est_t,bas_mean_con,bas_sd_con,bas_mean_all,bas_sd_all,end_mean_all,end_sd_all,other_outcomes,gender_effects,notes,Assumptions,paper_sample,paper_treatment_effect,paper_standarization,paper_covariates,paper_intervention_value
Kling et al.,2007,1997,,Experimental Analysis of Neighborhood Effects,Y,,kling_07,,Y,,Neighborhood,Unconditional,USA,0,youth - male,0%,15 to 20,17,573,276,297,,Moving to Opportunity (Section 8 vouchers without geographic restriction),Ever had depression symptoms,Depression,1,1,0,43827,,1827,,,,700,60,60,5 years after on average,0,N,,0,,-0.005,0.024,,,,,,,,,,,,,,,,,,,estimates of treatment group without geographic restriction (section 8 ),,,Table G2,outcome dummy,Table A1,Estimation using Katz 01
Kling et al.,2007,1997,,Experimental Analysis of Neighborhood Effects,Y,,kling_07,,Y,,Neighborhood,In-kind,USA,0,youth - male,0%,15 to 20,17,703,406,297,,Moving to Opportunity (Section 8 vouchers without geographic restriction),Ever had depression symptoms,Depression,1,1,0,43827,,1827,,,,700,60,60,5 years after on average,0,N,,0,,0.013,0.022,,,,,,,,,,,,,,,,,,,estimates of treatment group without geographic restriction (section 8 ),,,Table G2,outcome dummy,Table A1,Estimation using Katz 01
Leventhal & Brooks-Gunn,2003,1994,,Moving to opportunity: an experimental study of neighborhood effects on mental health.,Y,,Leventhal_2003,,Y,,Neighborhood,In-kind,USA,0,adults,91.30%,Parents (around 35),35.7,369,220,149,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),depression,Depression,1,0,0,27027,,1827,,,,700,36,36,3 years,0,Y,,0,,-0.19,0.11,2.37,,,,,,,,,,,,,,,,,N,ITT,,Table 3,Table 3,-,Table 1,Estimation using Katz 01
Leventhal & Brooks-Gunn,2003,1994,,Moving to opportunity: an experimental study of neighborhood effects on mental health.,Y,,Leventhal_2003,,Y,,Neighborhood,In-kind,USA,0,adults,91.30%,Parents (around 35),35.7,369,220,149,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),distress/anxiety,Stress,1,0,0,27027,,1827,,,,700,36,36,3 years,0,Y,,0,,-0.21,0.09,1.68,,,,,,,,,,,,,,,,,N,ITT,,Table 3,Table 3,-,Table 1,Estimation using Katz 01
Leventhal & Brooks-Gunn,2003,1994,,Moving to opportunity: an experimental study of neighborhood effects on mental health.,Y,,Leventhal_2003,,Y,,Neighborhood,In-kind,USA,0,children,,14 to 18,16,,,,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),Anxious/depressed,Depression,1,0,0,27027,,1827,,,,700,36,36,3 years,0,Y,,0,,-0.2,0.22,1.9,,,,,,,,,,,,,,,,,Y,ITT,,,Table 4,-,Table 1,Estimation using Katz 01
Leventhal & Brooks-Gunn,2003,1994,,Moving to opportunity: an experimental study of neighborhood effects on mental health.,Y,,Leventhal_2003,,Y,,Neighborhood,Unconditional,USA,0,children,,14 to 18,16,,,,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),Anxious/depressed,Depression,1,0,0,27027,,1827,,,,700,36,36,3 years,0,Y,,0,,0.01,0.23,1.8,,,,,,,,,,,,,,,,,Y,ITT,,,Table 4,-,Table 1,Estimation using Katz 01
Leventhal & Brooks-Gunn,2003,1994,,Moving to opportunity: an experimental study of neighborhood effects on mental health.,Y,,Leventhal_2003,,Y,,Neighborhood,In-kind,USA,0,children,50.00%,8 to 18,12,341,195,146,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),Anxious/depressed,Depression,1,0,0,27027,,1827,,,,700,36,36,3 years,0,Y,,0,,-0.32,0.16,2.02,,,,,,,,,,,,,,,,,Y,ITT,,Table 4,Table 4,-,Table 1,Estimation using Katz 01
Leventhal & Brooks-Gunn,2003,1994,,Moving to opportunity: an experimental study of neighborhood effects on mental health.,Y,,Leventhal_2003,,Y,,Neighborhood,In-kind,USA,0,children - girls,100.00%,8 to 18,12.64,171,98,73,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),Anxious/depressed,Depression,1,0,0,27027,,1827,,,,700,36,36,3 years,0,Y,,0,,-0.23,0.23,2.02,,,,,,,,,,,,,,,,,Y,ITT,,Table 4,Table 4,-,Table 1,Estimation using Katz 01
Leventhal & Brooks-Gunn,2003,1994,,Moving to opportunity: an experimental study of neighborhood effects on mental health.,Y,,Leventhal_2003,,Y,,Neighborhood,In-kind,USA,0,children -boys,0.00%,8 to 18,12.64,171,98,73,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),Anxious/depressed,Depression,1,0,0,27027,,1827,,,,700,36,36,3 years,0,Y,,0,,-0.42,0.21,2.02,,,,,,,,,,,,,,,,,Y,ITT,,Table 4,Table 4,-,Table 1,Estimation using Katz 01
Leventhal & Brooks-Gunn,2003,1994,,Moving to opportunity: an experimental study of neighborhood effects on mental health.,Y,,Leventhal_2003,,Y,,Neighborhood,Unconditional,USA,0,adults,91.30%,parents (around 35),35.7,330,181,149,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),depression,Depression,1,0,0,27027,,1827,,,,700,36,36,3 years,0,Y,,0,,-0.01,0.11,2.37,,,,,,,,,,,,,,,,,N,ITT,,Table 3,Table 3,-,Table 1,Estimation using Katz 01
Leventhal & Brooks-Gunn,2003,1994,,Moving to opportunity: an experimental study of neighborhood effects on mental health.,Y,,Leventhal_2003,,Y,,Neighborhood,Unconditional,USA,0,adults,91.30%,parents (around 35),35.7,330,181,149,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),distress/anxiety,Stress,1,0,0,27027,,1827,,,,700,36,36,3 years,0,Y,,0,,-0.12,0.09,1.68,,,,,,,,,,,,,,,,,N,ITT,,Table 3,Table 3,-,Table 1,Estimation using Katz 01
Leventhal & Brooks-Gunn,2003,1994,,Moving to opportunity: an experimental study of neighborhood effects on mental health.,Y,,Leventhal_2003,,Y,,Neighborhood,Unconditional,USA,0,children,50.00%,8 to 18,12,317,171,146,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),Anxious/depressed,Depression,1,0,0,27027,,1827,,,,700,36,36,3 years,0,Y,,0,,-0.16,0.17,2.02,,,,,,,,,,,,,,,,,Y,ITT,,Table 4,Table 4,-,Table 1,Estimation using Katz 01
Leventhal & Brooks-Gunn,2003,1994,,Moving to opportunity: an experimental study of neighborhood effects on mental health.,Y,,Leventhal_2003,,Y,,Neighborhood,Unconditional,USA,0,children - girls,100.00%,8 to 18,12,159,86,73,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),Anxious/depressed,Depression,1,0,0,27027,,1827,,,,700,36,36,3 years,0,Y,,0,,-0.03,0.24,2.02,,,,,,,,,,,,,,,,,Y,ITT,,Table 4,Table 4,-,Table 1,Estimation using Katz 01
Leventhal & Brooks-Gunn,2003,1994,,Moving to opportunity: an experimental study of neighborhood effects on mental health.,Y,,Leventhal_2003,,Y,,Neighborhood,Unconditional,USA,0,children -boys,0.00%,8 to 18,12,159,86,73,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),Anxious/depressed,Depression,1,0,0,27027,,1827,,,,700,36,36,3 years,0,Y,,0,,-0.33,0.24,2.02,,,,,,,,,,,,,,,,,Y,ITT,,Table 4,Table 4,-,Table 1,Estimation using Katz 01
Leventhal & Dupere,2011,1994,,Moving to Opportunity: Does long-term exposure to 'low-poverty' neighborhoods make a difference for adolescents?,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Leventhal_2011,Y,,,Neighborhood,In-kind,USA,0,adolescents,51.60%,12 to 19,15,1780,1025,755,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),depression & anxiety (NCSR-AS),Anxiety,1,1,0,52227,,1827,,,,700,72,72,5-7 years,0,Y,,0,,-0.01,0.02,,,,,0.101,,,,,,0.114,,,,,,"sexual behavior, delinquincy, achievement, graduation/school status",Y,ITT,,Table 1,Table 3: ITT for internalizing problem,-,Table 1,Estimation using Katz 01
Leventhal & Dupere,2011,1994,,Moving to Opportunity: Does long-term exposure to 'low-poverty' neighborhoods make a difference for adolescents?,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Leventhal_2011,Y,,,Neighborhood,In-kind,USA,0,adolescents (girls),100%,12 to 19,15,910,529,381,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),depression & anxiety (NCSR-AS),Anxiety,1,1,0,52227,,1827,,,,700,72,72,5-7 years,0,Y,,0,,-0.06,0.02,,,,,,,,,,,,,,,,,"sexual behavior, delinquincy, achievement, graduation/school status",Y,ITT,,Table 1,Table 3: ITT for internalizing problem,-,Table 1,Estimation using Katz 01
Leventhal & Dupere,2011,1994,,Moving to Opportunity: Does long-term exposure to 'low-poverty' neighborhoods make a difference for adolescents?,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Leventhal_2011,Y,,,Neighborhood,In-kind,USA,0,adolescents (boys),0%,12 to 19,15,870,496,374,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),depression & anxiety (NCSR-AS),Anxiety,1,1,0,52227,,1827,,,,700,72,72,5-7 years,0,Y,,0,,0.03,0.02,,,,,,,,,,,,,,,,,"sexual behavior, delinquincy, achievement, graduation/school status",Y,ITT,,Table 1,Table 3: ITT for internalizing problem,-,Table 1,Estimation using Katz 01
Leventhal & Dupere,2011,1994,,Moving to Opportunity: Does long-term exposure to 'low-poverty' neighborhoods make a difference for adolescents?,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Leventhal_2011,Y,,,Neighborhood,In-kind,USA,0,adolescents,51.60%,12 to 19,15,1780,1025,755,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),psychological distress,Stress,1,0,0,52227,,1827,,,,700,72,72,5-7 years,0,Y,,0,,-0.01,0.02,,,,,0.25,,,,,,0.27,,,,,,"sexual behavior, delinquincy, achievement, graduation/school status",Y,ITT,,Table 1,Table 3,-,Table 1,Estimation using Katz 01
Leventhal & Dupere,2011,1994,,Moving to Opportunity: Does long-term exposure to 'low-poverty' neighborhoods make a difference for adolescents?,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Leventhal_2011,Y,,,Neighborhood,In-kind,USA,0,adolescents (girls),100%,12 to 19,15,910,529,381,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),psychological distress,Stress,1,0,0,52227,,1827,,,,700,72,72,5-7 years,0,Y,,0,,-0.04,0.02,,,,,,,,,,,,,,,,,"sexual behavior, delinquincy, achievement, graduation/school status",Y,ITT,,Table 1,Table 3,-,Table 1,Estimation using Katz 01
Leventhal & Dupere,2011,1994,,Moving to Opportunity: Does long-term exposure to 'low-poverty' neighborhoods make a difference for adolescents?,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Leventhal_2011,Y,,,Neighborhood,In-kind,USA,0,adolescents (boys),0%,12 to 19,15,870,496,374,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),psychological distress,Stress,1,0,0,52227,,1827,,,,700,72,72,5-7 years,0,Y,,0,,0.02,0.02,,,,,,,,,,,,,,,,,"sexual behavior, delinquincy, achievement, graduation/school status",Y,ITT,,Table 1,Table 3,-,Table 1,Estimation using Katz 01
Lindqvist et al.,2020,2016,,Long-run Effects of Lottery Wealth on Psychological Well-being,Y,,Lindqvist_20,,Y,,Lottery,,Sweden,0,lottery players,46.50%,"Adults, average age 59",59,3327,2664,663,,lottery,happiness,Happiness or Satisfaction,0,,1,100000,lumpsum,100000,,,,,,120,5 to 22 years,0,N,,1,,0.016,0.014,0,1,,,,,,,,,,,,,,,,,,,Table 4 and Table 1 proportion,Table 3,already standardized,Table 2,Table 3
Lindqvist et al.,2020,2016,,Long-run Effects of Lottery Wealth on Psychological Well-being,Y,,Lindqvist_20,,Y,,Lottery,,Sweden,0,lottery players,46.50%,"Adults, average age 59",59,3331,2668,663,,lottery,overall life satisfaction,Happiness or Satisfaction,0,,1,100000,lumpsum,100000,,,,,,120,5 to 22 years,0,N,,1,,0.037,0.014,0,1,,,,,,,,,,,,,,,,,,,Table 4 and Table 1 proportion,Table 3,already standardized,Table 2,Table 3
Lindqvist et al.,2020,2016,,Long-run Effects of Lottery Wealth on Psychological Well-being,Y,,Lindqvist_20,,Y,,Lottery,,Sweden,0,lottery players,46.50%,"Adults, average age 59",59,3147,2520,627,,lottery,psychological wellbeing (GHQ),Happiness or Satisfaction,0,,1,100000,lumpsum,100000,,,,,,120,5 to 22 years,0,N,,1,,0.013,0.016,0,1,,,,,,,,,,,,,,,,,,,Table 4 and Table 1 proportion,Table 3,already standardized,Table 2,Table 3
Ludwig et al.,2013,1994,,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Ludwig_2013,Y,,,Neighborhood,In-kind,USA,0,adults from low-income families,97.80%,Adults around 43 years,43,2595,1456,1139,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),absence of mental health problems,Depression,0,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,1,,0.069,0.042,,,,,,,,,,,,,,,,,,N,,,Appendix table 1,Table 1,already standardized,Appendix table 1,Estimation using Katz 01
Ludwig et al.,2013,1994,,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Ludwig_2013,Y,,,Neighborhood,Unconditional,USA,0,adults from low-income families,97.80%,Adults around 43 years,43,1817,678,1139,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),absence of mental health problems,Depression,0,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,1,,0.063,0.062,,,,,,,,,,,,,,,,,,N,,,Appendix table 1,Table 1,already standardized,Appendix table 1,Estimation using Katz 01
Ludwig et al.,2013,1994,,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Ludwig_2013,Y,,,Neighborhood,In-kind,USA,0,adults from low-income families,97.80%,Adults around 43 years,43,2595,1456,1139,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),psychological distress (K6 z score),Stress,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,1,,-0.106,0.042,0,1,,,,,,,,,,,,,,,,N,,,Appendix table 1,Table 1,already standardized,Appendix table 1,Estimation using Katz 01
Ludwig et al.,2013,1994,,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Ludwig_2013,Y,,,Neighborhood,Unconditional,USA,0,adults from low-income families,97.80%,Adults around 43 years,43,1817,678,1139,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),psychological distress (K6 z score),Stress,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,1,,-0.081,0.06,0,1,,,,,,,,,,,,,,,,N,,,Appendix table 1,Table 1,already standardized,Appendix table 1,Estimation using Katz 01
Ludwig et al.,2013,1994,,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Ludwig_2013,Y,,,Neighborhood,In-kind,USA,0,adults from low-income families,97.80%,Adults around 43 years,43,2595,1456,1139,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),happiness - zscore,Happiness or Satisfaction,0,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,1,,0.079,0.042,0,1,,,,,,,,,,,,,,,,N,,,Appendix table 1,Appendix table 7,already standardized,Appendix table 1,Estimation using Katz 01
Ludwig et al.,2013,1994,,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Ludwig_2013,Y,,,Neighborhood,Unconditional,USA,0,adults from low-income families,97.80%,Adults around 43 years,43,1817,678,1139,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),happiness - zscore,Happiness or Satisfaction,0,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,1,,0.119,0.061,0,1,,,,,,,,,,,,,,,,N,,,Appendix table 1,Appendix table 7,already standardized,Appendix table 1,Estimation using Katz 01
Ludwig et al.,2013,1994,,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Ludwig_2013,Y,,,Neighborhood,In-kind,USA,0,adults from low-income families,97.80%,Adults around 43 years,43,2595,1456,1139,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),very happy or pretty happy,Happiness or Satisfaction,0,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,1,,0.045,0.018,0.725,,,,,,,,,,,,,,,,,N,,,Appendix table 1,Appendix table 7,already standardized,Appendix table 1,Estimation using Katz 01
Ludwig et al.,2013,1994,,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Ludwig_2013,Y,,,Neighborhood,Unconditional,USA,0,adults from low-income families,97.80%,Adults around 43 years,43,1817,678,1139,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),very happy or pretty happy,Happiness or Satisfaction,0,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,1,,0.034,0.027,0.725,,,,,,,,,,,,,,,,,N,,,Appendix table 1,Appendix table 7,already standardized,Appendix table 1,Estimation using Katz 01
Ludwig et al.,2013,1994,,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Ludwig_2013,Y,,,Neighborhood,In-kind,USA,0,female youth from low-income families,100%,15 to 20,17,2590,1437,1153,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),absence of mental health problems,Depression,0,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,1,,0.16,0.058,,,,,,,,,,,,,,,,,,Y,,,Appendix table 1b,Table 2,already standardized,Appendix table 1b,Estimation using Katz 01
Ludwig et al.,2013,1994,,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Ludwig_2013,Y,,,Neighborhood,Unconditional,USA,0,female youth from low-income families,100%,15 to 20,17,1831,678,1153,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),absence of mental health problems,Depression,0,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,1,,0.039,0.065,,,,,,,,,,,,,,,,,,Y,,,Appendix table 1b,Table 2,already standardized,Appendix table 1b,Estimation using Katz 01
Ludwig et al.,2013,1994,,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Ludwig_2013,Y,,,Neighborhood,In-kind,USA,0,male youth from low-income families,0%,15 to 20,17,2590,1437,1153,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),absence of mental health problems,Depression,0,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,1,,0.008,0.064,,,,,,,,,,,,,,,,,,Y,,,Appendix table 1b,Table 2,already standardized,Appendix table 1b,Estimation using Katz 01
Ludwig et al.,2013,1994,,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Ludwig_2013,Y,,,Neighborhood,Unconditional,USA,0,male youth from low-income families,0%,15 to 20,17,1831,678,1153,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),absence of mental health problems,Depression,0,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,1,,-0.062,0.071,,,,,,,,,,,,,,,,,,Y,,,Appendix table 1b,Table 2,already standardized,Appendix table 1b,Estimation using Katz 01
Ludwig et al.,2013,1994,,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Ludwig_2013,Y,,,Neighborhood,In-kind,USA,0,female youth from low-income families,100%,15 to 20,17,2590,1437,1153,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),"Psychological distress, K6 z-score",Stress,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,1,,-0.143,0.062,,,,,,,,,,,,,,,,,,Y,,,Appendix table 1b,Appendix Table 10,already standardized,Appendix table 1b,Estimation using Katz 01
Ludwig et al.,2013,1994,,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Ludwig_2013,Y,,,Neighborhood,In-kind,USA,0,male youth from low-income families,0%,15 to 20,17,2590,1437,1153,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),"Psychological distress, K6 z-score",Stress,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,1,,0.039,0.063,,,,,,,,,,,,,,,,,,Y,,,Appendix table 1b,Appendix Table 10,already standardized,Appendix table 1b,Estimation using Katz 01
Ludwig et al.,2013,1994,,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Ludwig_2013,Y,,,Neighborhood,Unconditional,USA,0,female youth from low-income families,100%,15 to 20,17,1831,678,1153,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),"Psychological distress, K6 z-score",Stress,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,1,,-0.032,0.07,,,,,,,,,,,,,,,,,,Y,,,Appendix table 1b,Appendix Table 10,already standardized,Appendix table 1b,Estimation using Katz 01
Ludwig et al.,2013,1994,,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,Y,"ITT effect sizes provided, but may not have enough info for the estimations we need",Ludwig_2013,Y,,,Neighborhood,Unconditional,USA,0,male youth from low-income families,0%,15 to 20,17,1831,678,1153,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),"Psychological distress, K6 z-score",Stress,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,1,,0.081,0.07,,,,,,,,,,,,,,,,,,Y,,,Appendix table 1b,Appendix Table 10,already standardized,Appendix table 1b,Estimation using Katz 01
McIntosh & Zeitlin,2020,2018,RCT,Using Household Grants to Benchmark the Cost Effectiveness of a USAID Workforce Readiness Program,y,,mcintosh_20,,y,,Cash Transfer,Unconditional,Rwanda,1,"Youth 16-30 from poor households with less than secondary education,",59%,16 to 30,24,649,161,488,,"cash (750, 410., 317, 503), HD (452), HD+cash (845) - lower",subjective wellbeing,Depression,0,0,1,317,,,,,,,,15,15 months,0,N,,1,,0.4,0.09,,,,,,,,,,,,,,,,,,,,,Table 1 - Control and 317.16 column,Table 5 - Lower Column,already standardized,"Page 9, paragraph 2",Table 3
McIntosh & Zeitlin,2020,2018,RCT,Using Household Grants to Benchmark the Cost Effectiveness of a USAID Workforce Readiness Program,y,,mcintosh_20,,y,,Cash Transfer,Unconditional,Rwanda,1,"Youth 16-30 from poor households with less than secondary education,",59%,16 to 30,24,649,161,488,,"cash (750, 410., 317, 503), HD (452), HD+cash (845) - lower",mental health,Depression,0,0,1,317,,,,,,,,15,15 months,0,N,,1,,-0.06,0.09,,,,,,,,,,,,,,,,,,,,,Table 1 - Control and 317.16 column,Table 5 - Lower Column,already standardized,"Page 9, paragraph 2",Table 3
McIntosh & Zeitlin,2020,2018,RCT,Using Household Grants to Benchmark the Cost Effectiveness of a USAID Workforce Readiness Program,y,,mcintosh_20,,y,,Cash Transfer,Unconditional,Rwanda,1,"Youth 16-30 from poor households with less than secondary education,",59%,16 to 30,24,656,168,488,,"cash (750, 410., 317, 503), HD (452), HD+cash (845) - middle",subjective wellbeing,Depression,0,0,1,410,,,,,,,,15,15 months,0,N,,1,,0.53,0.1,,,,,,,,,,,,,,,,,,,,,Table 1 - Control and 410.65 column,Table 5 - Middle Column,already standardized,"Page 9, paragraph 2",Table 3
McIntosh & Zeitlin,2020,2018,RCT,Using Household Grants to Benchmark the Cost Effectiveness of a USAID Workforce Readiness Program,y,,mcintosh_20,,y,,Cash Transfer,Unconditional,Rwanda,1,"Youth 16-30 from poor households with less than secondary education,",59%,16 to 30,24,656,168,488,,"cash (750, 410., 317, 503), HD (452), HD+cash (845) - middle",mental health,Depression,0,0,1,410,,,,,,,,15,15 months,0,N,,1,,0.07,0.09,,,,,,,,,,,,,,,,,,,,,Table 1 - Control and 410.65 column,Table 5 - Middle Column,already standardized,"Page 9, paragraph 2",Table 3
McIntosh & Zeitlin,2020,2018,RCT,Using Household Grants to Benchmark the Cost Effectiveness of a USAID Workforce Readiness Program,y,,mcintosh_20,,y,,Cash Transfer,Unconditional,Rwanda,1,"Youth 16-30 from poor households with less than secondary education,",59%,16 to 30,24,653,165,488,,"cash (750, 410., 317, 503), HD (452), HD+cash (845) - upper",subjective wellbeing,Depression,0,0,1,503,,,,,,,,15,15 months,0,N,,1,,0.48,0.09,,,,,,,,,,,,,,,,,,,,,Table 1 - Control and 502.96 column,Table 5 - Upper Column,already standardized,"Page 9, paragraph 2",Table 3
McIntosh & Zeitlin,2020,2018,RCT,Using Household Grants to Benchmark the Cost Effectiveness of a USAID Workforce Readiness Program,y,,mcintosh_20,,y,,Cash Transfer,Unconditional,Rwanda,1,"Youth 16-30 from poor households with less than secondary education,",59%,16 to 30,24,653,165,488,,"cash (750, 410., 317, 503), HD (452), HD+cash (845) - upper",mental health,Depression,0,0,1,503,,,,,,,,15,15 months,0,N,,1,,0.03,0.09,,,,,,,,,,,,,,,,,,,,,Table 1 - Control and 502.96 column,Table 5 - Upper Column,already standardized,"Page 9, paragraph 2",Table 3
McIntosh & Zeitlin,2020,2018,RCT,Using Household Grants to Benchmark the Cost Effectiveness of a USAID Workforce Readiness Program,y,,mcintosh_20,,y,,Cash Transfer,Unconditional,Rwanda,1,"Youth 16-30 from poor households with less than secondary education,",59%,16 to 30,24,666,178,488,,"cash (750, 410., 317, 503), HD (452), HD+cash (845) - large",subjective wellbeing,Depression,0,0,1,750,,,,,,,,15,15 months,0,N,,1,,0.55,0.09,,,,,,,,,,,,,,,,,,,,,Table 1 - Control and 750.3 column,Table 5 - Large Column,already standardized,"Page 9, paragraph 2",Table 3
McIntosh & Zeitlin,2020,2018,RCT,Using Household Grants to Benchmark the Cost Effectiveness of a USAID Workforce Readiness Program,y,,mcintosh_20,,y,,Cash Transfer,Unconditional,Rwanda,1,"Youth 16-30 from poor households with less than secondary education,",59%,16 to 30,24,666,178,488,,"cash (750, 410., 317, 503), HD (452), HD+cash (845) - large",mental health,Depression,0,0,1,750,,,,,,,,15,15 months,0,N,,1,,0.11,0.1,,,,,,,,,,,,,,,,,,,,,Table 1 - Control and 750.3 column,Table 5 - Large Column,already standardized,"Page 9, paragraph 2",Table 3
